time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.0,0.0,10.0080214579,0.0,0.0,0.0,0.0,0.0,0.267357162543,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.12000000000000001,0.0,0.0,10.0321950126,0.0,0.0,0.0,0.0,0.0,0.538339615672,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.18,0.0,0.0,10.072765451,0.0,0.0,0.0,0.0,0.0,0.813853164875,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.23999999999999996,0.0,0.0,10.1300554139,0.0,0.0,0.0,0.0,0.0,1.09558551642,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.3,0.0,0.0,10.2045242857,0.0,0.0,0.0,0.0,0.0,1.38640401299,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.36000000000000004,0.0,0.0,10.2966905829,0.0,0.0,0.0,0.0,0.0,1.68541457071,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.4200000000000001,0.0,0.0,10.4071397962,0.0,0.0,0.0,0.0,0.0,1.99573779774,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.48000000000000015,0.0,0.0,10.5365275426,0.0,0.0,0.0,0.0,0.0,2.31659456141,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.5400000000000001,0.0,0.0,10.6854906071,0.0,0.0,0.0,0.0,0.0,2.64813475232,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.6000000000000002,0.0,0.0,10.8546974786,0.0,0.0,0.0,0.0,0.0,2.99126287932,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.6600000000000003,0.0,0.0,11.0448981374,0.0,0.0,0.0,0.0,0.0,3.34778683397,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.7200000000000003,0.0,0.0,11.2569485858,0.0,0.0,0.0,0.0,0.0,3.71943037165,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.7800000000000004,0.0,0.0,11.4917853015,0.0,0.0,0.0,0.0,0.0,4.10715212818,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.8400000000000004,0.0,0.0,11.7503480177,0.0,0.0,0.0,0.0,0.0,4.51010693936,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.9000000000000005,0.0,0.0,12.0335709978,0.0,0.0,0.0,0.0,0.0,4.92895185611,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
0.9600000000000005,0.0,0.0,12.3424625449,0.0,0.0,0.0,0.0,0.0,5.36549093917,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.0200000000000005,0.0,0.0,12.6781474887,0.0,0.0,0.0,0.0,0.0,5.82179944735,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.0800000000000005,0.0,0.0,13.0418111312,0.0,0.0,0.0,0.0,0.0,6.29782503891,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.1400000000000006,0.0,0.0,13.4346846702,0.0,0.0,0.0,0.0,0.0,6.79513947696,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.2000000000000006,0.0,0.0,13.8580389314,0.0,0.0,0.0,0.0,0.0,7.31349940015,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.2600000000000007,0.0,0.0,14.3132426703,0.0,0.0,0.0,0.0,0.0,7.85638657569,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.3200000000000007,0.0,0.0,14.8016680114,0.0,0.0,0.0,0.0,0.0,8.4204727158,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.3800000000000008,0.0,0.0,15.3245510968,0.0,0.0,0.0,0.0,0.0,9.00454217362,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.4400000000000008,0.0,0.0,15.8831673052,0.0,0.0,0.0,0.0,0.0,9.61108908869,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.5000000000000009,0.0,0.0,16.4788955813,0.0,0.0,0.0,0.0,0.0,10.241078393,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.560000000000001,0.0,0.0,17.113015122,0.0,0.0,0.0,0.0,0.0,10.8902655505,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.620000000000001,0.0,0.0,17.7866843131,0.0,0.0,0.0,0.0,0.0,11.5588323371,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
1.680000000000001,0.0,0.0,18.5010959945,0.0,0.0,0.0,0.0,0.0,12.2477357255,0.0,0.0,0.0,460.5636418319296,460.35178403539396,460.0396328836294,461.5425055586363
